map,strat0,strat1,score0,score1
yellow-map,random,random,19,16
yellow-map,random,coordination,33,11
yellow-map,random,fictitious,30,13
yellow-map,random,regret,21,21
yellow-map,random,hybrid_regret,30,14
yellow-map,random,hybrid_fictitious,31,10
yellow-map,random,greedy,33,12
yellow-map,random,epsilon_regret,23,18
yellow-map,random,hybrid_greedy_regret,25,15
yellow-map,random,strategy_stationary,19,18
yellow-map,random,strategy_aleatoire_expert,19,17
yellow-map,coordination,random,11,32
yellow-map,coordination,coordination,15,10
yellow-map,coordination,fictitious,13,13
yellow-map,coordination,regret,12,25
yellow-map,coordination,hybrid_regret,10,12
yellow-map,coordination,hybrid_fictitious,13,10
yellow-map,coordination,greedy,11,20
yellow-map,coordination,epsilon_regret,11,32
yellow-map,coordination,hybrid_greedy_regret,14,24
yellow-map,coordination,strategy_stationary,11,31
yellow-map,coordination,strategy_aleatoire_expert,14,30
yellow-map,fictitious,random,13,30
yellow-map,fictitious,coordination,12,10
yellow-map,fictitious,fictitious,12,11
yellow-map,fictitious,regret,12,24
yellow-map,fictitious,hybrid_regret,24,21
yellow-map,fictitious,hybrid_fictitious,21,19
yellow-map,fictitious,greedy,25,22
yellow-map,fictitious,epsilon_regret,13,27
yellow-map,fictitious,hybrid_greedy_regret,19,21
yellow-map,fictitious,strategy_stationary,12,27
yellow-map,fictitious,strategy_aleatoire_expert,12,31
yellow-map,regret,random,17,21
yellow-map,regret,coordination,32,14
yellow-map,regret,fictitious,22,14
yellow-map,regret,regret,21,24
yellow-map,regret,hybrid_regret,26,18
yellow-map,regret,hybrid_fictitious,26,14
yellow-map,regret,greedy,28,12
yellow-map,regret,epsilon_regret,18,21
yellow-map,regret,hybrid_greedy_regret,20,27
yellow-map,regret,strategy_stationary,19,19
yellow-map,regret,strategy_aleatoire_expert,16,20
yellow-map,hybrid_regret,random,14,25
yellow-map,hybrid_regret,coordination,10,10
yellow-map,hybrid_regret,fictitious,10,13
yellow-map,hybrid_regret,regret,13,26
yellow-map,hybrid_regret,hybrid_regret,10,10
yellow-map,hybrid_regret,hybrid_fictitious,15,15
yellow-map,hybrid_regret,greedy,17,15
yellow-map,hybrid_regret,epsilon_regret,14,26
yellow-map,hybrid_regret,hybrid_greedy_regret,20,26
yellow-map,hybrid_regret,strategy_stationary,16,27
yellow-map,hybrid_regret,strategy_aleatoire_expert,14,25
yellow-map,hybrid_fictitious,random,12,30
yellow-map,hybrid_fictitious,coordination,10,13
yellow-map,hybrid_fictitious,fictitious,10,12
yellow-map,hybrid_fictitious,regret,14,27
yellow-map,hybrid_fictitious,hybrid_regret,15,12
yellow-map,hybrid_fictitious,hybrid_fictitious,18,19
yellow-map,hybrid_fictitious,greedy,22,21
yellow-map,hybrid_fictitious,epsilon_regret,13,28
yellow-map,hybrid_fictitious,hybrid_greedy_regret,15,25
yellow-map,hybrid_fictitious,strategy_stationary,13,28
yellow-map,hybrid_fictitious,strategy_aleatoire_expert,11,30
yellow-map,greedy,random,12,33
yellow-map,greedy,coordination,21,11
yellow-map,greedy,fictitious,17,16
yellow-map,greedy,regret,10,34
yellow-map,greedy,hybrid_regret,11,26
yellow-map,greedy,hybrid_fictitious,24,21
yellow-map,greedy,greedy,11,12
yellow-map,greedy,epsilon_regret,11,28
yellow-map,greedy,hybrid_greedy_regret,10,29
yellow-map,greedy,strategy_stationary,13,30
yellow-map,greedy,strategy_aleatoire_expert,11,30
yellow-map,epsilon_regret,random,16,20
yellow-map,epsilon_regret,coordination,28,14
yellow-map,epsilon_regret,fictitious,28,12
yellow-map,epsilon_regret,regret,24,19
yellow-map,epsilon_regret,hybrid_regret,36,10
yellow-map,epsilon_regret,hybrid_fictitious,29,11
yellow-map,epsilon_regret,greedy,33,10
yellow-map,epsilon_regret,epsilon_regret,22,24
yellow-map,epsilon_regret,hybrid_greedy_regret,29,13
yellow-map,epsilon_regret,strategy_stationary,17,22
yellow-map,epsilon_regret,strategy_aleatoire_expert,14,22
yellow-map,hybrid_greedy_regret,random,19,27
yellow-map,hybrid_greedy_regret,coordination,24,13
yellow-map,hybrid_greedy_regret,fictitious,21,15
yellow-map,hybrid_greedy_regret,regret,19,26
yellow-map,hybrid_greedy_regret,hybrid_regret,31,10
yellow-map,hybrid_greedy_regret,hybrid_fictitious,27,15
yellow-map,hybrid_greedy_regret,greedy,24,11
yellow-map,hybrid_greedy_regret,epsilon_regret,15,31
yellow-map,hybrid_greedy_regret,hybrid_greedy_regret,17,21
yellow-map,hybrid_greedy_regret,strategy_stationary,16,23
yellow-map,hybrid_greedy_regret,strategy_aleatoire_expert,14,26
yellow-map,strategy_stationary,random,14,15
yellow-map,strategy_stationary,coordination,33,11
yellow-map,strategy_stationary,fictitious,30,12
yellow-map,strategy_stationary,regret,22,16
yellow-map,strategy_stationary,hybrid_regret,36,12
yellow-map,strategy_stationary,hybrid_fictitious,33,11
yellow-map,strategy_stationary,greedy,29,14
yellow-map,strategy_stationary,epsilon_regret,15,21
yellow-map,strategy_stationary,hybrid_greedy_regret,23,16
yellow-map,strategy_stationary,strategy_stationary,15,19
yellow-map,strategy_stationary,strategy_aleatoire_expert,21,16
yellow-map,strategy_aleatoire_expert,random,17,17
yellow-map,strategy_aleatoire_expert,coordination,28,13
yellow-map,strategy_aleatoire_expert,fictitious,34,13
yellow-map,strategy_aleatoire_expert,regret,16,16
yellow-map,strategy_aleatoire_expert,hybrid_regret,35,11
yellow-map,strategy_aleatoire_expert,hybrid_fictitious,33,11
yellow-map,strategy_aleatoire_expert,greedy,33,12
yellow-map,strategy_aleatoire_expert,epsilon_regret,20,21
yellow-map,strategy_aleatoire_expert,hybrid_greedy_regret,29,12
yellow-map,strategy_aleatoire_expert,strategy_stationary,18,17
yellow-map,strategy_aleatoire_expert,strategy_aleatoire_expert,20,18
red-map,random,random,17,18
red-map,random,coordination,23,9
red-map,random,fictitious,21,12
red-map,random,regret,20,17
red-map,random,hybrid_regret,22,12
red-map,random,hybrid_fictitious,21,12
red-map,random,greedy,24,12
red-map,random,epsilon_regret,16,17
red-map,random,hybrid_greedy_regret,19,12
red-map,random,strategy_stationary,16,15
red-map,random,strategy_aleatoire_expert,14,15
red-map,coordination,random,10,26
red-map,coordination,coordination,14,13
red-map,coordination,fictitious,10,12
red-map,coordination,regret,10,19
red-map,coordination,hybrid_regret,12,16
red-map,coordination,hybrid_fictitious,10,10
red-map,coordination,greedy,11,11
red-map,coordination,epsilon_regret,9,19
red-map,coordination,hybrid_greedy_regret,10,16
red-map,coordination,strategy_stationary,10,22
red-map,coordination,strategy_aleatoire_expert,10,22
red-map,fictitious,random,12,20
red-map,fictitious,coordination,12,13
red-map,fictitious,fictitious,10,11
red-map,fictitious,regret,10,18
red-map,fictitious,hybrid_regret,12,18
red-map,fictitious,hybrid_fictitious,11,10
red-map,fictitious,greedy,15,16
red-map,fictitious,epsilon_regret,14,17
red-map,fictitious,hybrid_greedy_regret,11,18
red-map,fictitious,strategy_stationary,10,16
